,Architecture,Source Dataset,Target Dataset,Oracle
0,bninception,Unknown,sport,0.982
1,bam_resnet50,Unknown,sport,0.978
2,alexnet,Unknown,sport,0.932
3,zfnet,Unknown,sport,0.944
4,vgg19,Unknown,sport,0.966
5,resnet10,Unknown,sport,0.94
6,resnet18,Unknown,sport,0.968
7,resnet20_cifar10,Unknown,sport,0.614
8,resnet20_cifar100,Unknown,sport,0.676
9,resnet20_svhn,Unknown,sport,0.508
10,resnet50,Unknown,sport,0.982
11,resnet56_cifar10,Unknown,sport,0.65
12,resnet56_cifar100,Unknown,sport,0.726
13,resnet56_svhn,Unknown,sport,0.468
14,resnet101,Unknown,sport,0.986
15,preresnet10,Unknown,sport,0.94
16,preresnet18,Unknown,sport,0.956
17,preresnet20_cifar10,Unknown,sport,0.598
18,preresnet20_cifar100,Unknown,sport,0.658
19,preresnet20_svhn,Unknown,sport,0.584
20,preresnet50,Unknown,sport,0.966
21,preresnet56_cifar10,Unknown,sport,0.706
22,preresnet56_cifar100,Unknown,sport,0.718
23,preresnet56_svhn,Unknown,sport,0.49
24,preresnet101,Unknown,sport,0.972
25,resnext14_16x4d,Unknown,sport,0.95
26,resnext14_32x2d,Unknown,sport,0.946
27,resnext14_32x4d,Unknown,sport,0.96
28,seresnet10,Unknown,sport,0.95
29,seresnet18,Unknown,sport,0.968
30,seresnet50,Unknown,sport,0.984
31,seresnet101,Unknown,sport,0.988
32,seresnet56_cifar10,Unknown,sport,0.632
33,seresnet56_cifar100,Unknown,sport,0.746
34,seresnet56_svhn,Unknown,sport,0.484
35,sepreresnet10,Unknown,sport,0.954
36,sepreresnet18,Unknown,sport,0.964
37,seresnext50_32x4d,Unknown,sport,0.982
38,senet16,Unknown,sport,0.97
39,senet28,Unknown,sport,0.978
40,resnesta18,Unknown,sport,0.98
41,ibn_resnet50,Unknown,sport,0.98
42,ibn_densenet121,Unknown,sport,0.976
43,airnet50_1x64d_r2,Unknown,sport,0.978
44,airnext50_32x4d_r2,Unknown,sport,0.986
45,cbam_resnet50,Unknown,sport,0.984
46,scnet50,Unknown,sport,0.992
47,scnet101,Unknown,sport,0.988
48,regnetx002,Unknown,sport,0.948
49,regnetx004,Unknown,sport,0.964
50,regnetx006,Unknown,sport,0.966
51,regnetx008,Unknown,sport,0.988
52,regnety002,Unknown,sport,0.956
53,regnety004,Unknown,sport,0.97
54,regnety006,Unknown,sport,0.968
55,regnety008,Unknown,sport,0.978
56,diracnet18v2,Unknown,sport,0.918
57,diracnet34v2,Unknown,sport,0.942
58,densenet121,Unknown,sport,0.978
59,espnetv2_wd2,Unknown,sport,0.914
60,hrnet_w18_small_v1,Unknown,sport,0.978
61,hrnetv2_w18,Unknown,sport,0.986
62,ror3_56_cifar10,Unknown,sport,0.652
63,ror3_56_cifar100,Unknown,sport,0.718
64,ror3_56_svhn,Unknown,sport,0.49
65,condensenet74_c4_g4,Unknown,sport,0.956
66,condensenet74_c8_g8,Unknown,sport,0.958
67,shakeshakeresnet20_2x16d_cifar10,Unknown,sport,0.672
68,shakeshakeresnet20_2x16d_cifar100,Unknown,sport,0.68
69,shakeshakeresnet20_2x16d_svhn,Unknown,sport,0.546
70,peleenet,Unknown,sport,0.962
71,wrn50_2,Unknown,sport,0.978
72,espnetv2_w1,Unknown,sport,0.946
73,vovnet27s,Unknown,sport,0.978
74,vovnet57,Unknown,sport,0.984
75,selecsls60,Unknown,sport,0.976
76,hardnet39ds,Unknown,sport,0.974
77,hardnet68,Unknown,sport,0.972
78,sqnxt23_w1,Unknown,sport,0.918
79,sqnxt23_w2,Unknown,sport,0.942
80,shufflenet_g1_w1,Unknown,sport,0.918
81,shufflenet_g4_w1,Unknown,sport,0.954
82,menet108_8x1_g3,Unknown,sport,0.898
83,menet160_8x1_g8,Unknown,sport,0.904
84,mobilenet_w1,Unknown,sport,0.97
85,mobilenet_w3d4,Unknown,sport,0.968
86,fdmobilenet_w1,Unknown,sport,0.962
87,igcv3_w1,Unknown,sport,0.972
88,igcv3_wd4,Unknown,sport,0.878
89,mnasnet_b1,Unknown,sport,0.962
90,darts,Unknown,sport,0.976
91,proxylessnas_gpu,Unknown,sport,0.974
92,fbnet_cb,Unknown,sport,0.966
93,xception,Unknown,sport,0.986
94,inceptionv3,Unknown,sport,0.978
95,inceptionv4,Unknown,sport,0.988
96,nasnet_4a1056,Unknown,sport,0.968
97,spnasnet,Unknown,sport,0.964
98,efficientnet_b0,Unknown,sport,0.976
